openalex_id,title,year,authors,doi,own_field,field_rarity,cited_by_count,fwci,citation_pctile,top_10_percent,gen2_total,gen2_same_field,same_field_fraction,abstract,tldr
W1612200372,Brownian motion and the parabolicity of minimal graphs,2008,Robert W. Neel,10.48550/arxiv.0810.0669,"Economics, Econometrics and Finance",1,6,,,,3,0,0.0,"We prove that minimal graphs (other than planes) are parabolic in the sense that any bounded harmonic function is determined by its boundary values. The proof relies on using the coupling introduced in the author's earlier paper ""A martingale approach to minimal surfaces"" to show that Brownian motion on such a minimal graph almost surely strikes the boundary in finite time.",
W3026088860,XROMM and diceCT reveal a hydraulic mechanism of tongue base retraction in swallowing,2020,"Courtney P. Orsbon, Nicholas J. Gidmark, Nicholas J. Gidmark, Tingran Gao",10.1038/s41598-020-64935-z,Health Professions,2,45,6.3158,0.96393995,1,45,18,0.4,"During primate swallowing, tongue base retraction (TBR) drives the food bolus across the oropharynx towards the esophagus and flips the epiglottis over the laryngeal inlet, protecting against penetration and aspiration of food into the airway. Despite the importance of TBR for swallowing performance, the mechanics of TBR are poorly understood. Using biplanar videoradiography (XROMM) of four macaque monkeys, we tested the extrinsic muscle shortening hypothesis, which posits that shortening of the hyoglossus and styloglossus muscles pulls the tongue base posteriorly, and the muscular hydrostat or intrinsic tongue muscle hypothesis, which suggests that, because the tongue is composed of incompressible fluid, intrinsic muscle shortening increases tongue length and displaces the tongue base posteriorly. Our data falsify these hypotheses. Instead we suggest a novel hydraulic mechanism of TBR: shortening and rotation of suprahyoid muscles compresses the tongue between the hard palate, hyoid and mouth floor, squeezing the midline tongue base and food bolus back into the oropharynx. Our hydraulic mechanism is consistent with available data on human tongue swallowing kinematics. Rehabilitation for poor tongue base retraction might benefit from including suprahyoid muscle exercises during treatment.","A novel hydraulic mechanism of TBR is suggested: shortening and rotation of suprahyoid muscles compresses the tongue between the hard palate, hyoid and mouth floor, squeezing the midline tongue base and food bolus back into the oropharynx."
W2999050204,On virus growth and form,2020,"Roya Zandi, Bogdan Dragnea, Alex Travesset, Rudolf Podgornik",10.1016/j.physrep.2019.12.005,Environmental Science,3,157,14.2229,0.99418495,1,160,70,0.438,,"The combination of discrete and continuum coarse grained mechanics, commonly used in the fundamental physical description of viruses, together with the pertinent description of generic long-range electrostatic and specific short-range interactions give insight into the details of structural order and mechanical properties of viruses and elucidates their role in nano-container and nano-machine functions."
W2002021482,Triply periodic minimal surfaces decorated with curved graphite,1993,"Humberto Terrones, Alan L. Mackay",10.1016/0009-2614(93)85009-d,Chemistry,3,59,2.3658,0.86494288,0,58,17,0.293,,
W2006894956,Polymerization in the cubic phase and studies of phase behavior in two nonionic surfactant-water-acrylamide systems,1992,Pelle Ström,10.1016/0021-9797(92)90091-y,Chemistry,3,9,0.3347,0.55219728,0,9,8,0.889,,
W2009242770,Differential geometric theory of capillarity,1996,J. Gaydos,10.1016/0927-7757(96)03591-1,Chemistry,3,7,0.3212,0.54993226,0,5,0,0.0,,
W2612605708,Gaussian curvature directs the distribution of spontaneous curvature on bilayer membrane necks,2018,"Morgan Chabanon, Padmini Rangamani",10.1039/c8sm00035b,"Biochemistry, Genetics and Molecular Biology",4,39,1.9844,0.86766442,0,39,34,0.872,"Formation of membrane necks is crucial for fission and fusion in lipid bilayers. In this work, we seek to answer the following fundamental question: what is the relationship between protein-induced spontaneous mean curvature and the Gaussian curvature at a membrane neck? Using an augmented Helfrich model for lipid bilayers to include membrane-protein interaction, we solve the shape equation on catenoids to find the field of spontaneous curvature that satisfies mechanical equilibrium of membrane necks. In this case, the shape equation reduces to a variable coefficient Helmholtz equation for spontaneous curvature, where the source term is proportional to the Gaussian curvature. We show how this latter quantity is responsible for non-uniform distribution of spontaneous curvature in minimal surfaces. We then explore the energetics of catenoids with different spontaneous curvature boundary conditions and geometric asymmetries to show how heterogeneities in spontaneous curvature distribution can couple with Gaussian curvature to result in membrane necks of different geometries.",
W2112838653,Electrostatic colloid-membrane binding,2004,"Christian Fleck, Roland R. Netz, Roland R. Netz",10.1209/epl/i2004-10068-x,"Biochemistry, Genetics and Molecular Biology",4,54,0.2395,0.54892223,0,54,29,0.537,"We investigate numerically and on the scaling level the adsorption of a charged colloid on an oppositely charged flexible membrane. We show that the long ranged character of the electrostatic interaction leads to a wrapping reentrance of the complex as the salt concentration is varied. The membrane wrapping depends on the size of the colloid and on the salt concentration and only for intermediate salt concentration and colloid sizes we find full wrapping. From the scaling model we derive simple relations for the phase boundaries between the different states of the complex, which agree well with the numerical minimization of the free energy.",
W2027915740,The contact angle in capillarity,2006,Robert Finn,10.1063/1.2185655,Earth and Planetary Sciences,8,60,3.2589,0.91021625,1,60,1,0.017,"In 1805, Thomas Young gave a reasoning to support the view that the contact angle at a solid/liquid/gas interface is a physical constant depending only on the materials, and in no other way on the particular configuration considered. That conclusion has become one of the underpinnings of both classical and modern capillarity theory. The present paper raises some questions about the reasoning and some of its consequences, and offers partial answers.",
W2963173568,On the Uniqueness of Vortex Equations and Its Geometric Applications,2018,"Qiongling Li, Qiongling Li",10.1007/s12220-018-9981-x,Earth and Planetary Sciences,8,17,2.5648,0.88767992,0,16,0,0.0,"We study the uniqueness of a vortex equation involving an entire function on the complex plane. As geometric applications, we show that there is a unique harmonic map $$u:\mathbb {C}\rightarrow \mathbb {H}^2$$ satisfying $$\partial u\ne 0$$ with prescribed polynomial Hopf differential; there is a unique affine spherical immersion $$u:\mathbb {C}\rightarrow \mathbb {R}^3$$ with prescribed polynomial Pick differential. We also show that the uniqueness fails for non-polynomial entire functions with finitely many zeros.",
W2065862916,The shapes of first-stage sinters,1989,"François G. Amar, Julius Jellinek, J. Bernholc, R. Stephen Berry",10.1063/1.342674,Earth and Planetary Sciences,8,28,2.2663,0.87716616,0,22,7,0.318,"The shape of first-stage sinters is derived within a framework in which a solid skeleton is wetted by a mobile‘‘liquid’’ pool. Several lattices are considered as possible solid skeletons, corresponding to various degrees of surface versus grain boundary and volume transport; the effect of a nonzero dihedral angle at the interface between crystal faces is also treated. In some cases, significant differences exist between shapes calculated by minimizing the free energy and the shapes assumed by previous workers.",
W2789770516,Polymer Structures with the Topology of Triply Periodic Minimal Surfaces,2017,"V. Ya. Shevchenko, Lev A. Lebedev, A. A. Gruzdkov, А. Е. Лапшин",10.1134/s1087659617060177,Materials Science,16,20,13.1663,0.98639456,1,20,2,0.1,"Using 3D printing, plastic products with the topology of triply periodic minimal surfaces (TPMS) are prepared and their mechanical properties are studied. It is shown that the strength of the products is sufficient to apply them as sandwich panels and they have promising prospects as anechoic platings.",
W168724759,The Topological Background of Schwarzite Physics,2010,"G. Benedek, G. Benedek, Eugenio Cinquanta, Luca D’Alessio",10.1007/978-94-007-0221-9_12,Materials Science,16,11,6.5705,0.96100827,1,11,9,0.818,,
W2011393615,"Capillary models for liquid crystal fibers, membranes, films, and drops",2007,Alejandro D. Rey,10.1039/b704248p,Materials Science,16,105,4.2697,0.95298291,1,105,61,0.581,"This paper presents an overview of the capillary modeling science of nematic liquid crystals and its applications to the stability, structure, and shape of films, membranes, fibers, and drops. Liquid crystals are anisotropic viscoelastic materials possessing long range orientational order, and hence these models are relevant to the capillary science of anisotropic soft matter. A systematic multiscale approach is used to derive the equations that govern the shape of interfaces and contact lines. These shape equations generalize the surface Laplace and the contact line Neuman equations by introducing long range orientational order, gradient elasticity, surfactant adsorbants, magnetic and electric fields. The thermodynamics of capillary systems is used to reveal novel cross-effects such as adsorption-driven shape changes of surfaces and contact lines. The capillary models are used to analyze the structure and stability of films, membranes, fibers, and drops, of direct relevance to the processing and performance of structural and functional liquid crystals. Novel soft materials and mechanisms analyzed in this paper include: (1) stabilization of freely-suspended nematic films by orientation and molecular order heterogeneities, (2) orientational defects in polymer dispersed liquid crystals films, shown to originate from surface anchoring transitions, (3) electric field-induced curvature in membranes for sensor and actuator applications, (4) new helical morphologies of thin nematic filaments driven by strong interfacial anchoring, (5) tunable partial wetting through contact angle modification gradient and anchoring elasticity, (6) liquid crystal nanoemulsion shape control through anchoring effects, and (7) magnetic shaping in liquid crystal colloids. Readily accessible applications to biological liquid crystal materials and processes indicate that capillary modeling science will be a most active area of research in the very near future.","The capillary models are used to analyze the structure and stability of films, membranes, fibers, and drops, of direct relevance to the processing and performance of structural and functional liquid crystals."
W2169776346,Heart wall myofibers are arranged in minimal surfaces to optimize organ function,2012,"Peter Savadjiev, Peter Savadjiev, Emmanuel Piuze, Steven W. Zucker",10.1073/pnas.1120785109,Materials Science,16,62,3.878,0.93960657,1,62,0,0.0,"Heart wall myofibers wind as helices around the ventricles, strengthening them in a manner analogous to the reinforcement of concrete cylindrical columns by spiral steel cables [Richart FE, et al. (1929) Univ of Illinois, Eng Exp Stn Bull 190]. A multitude of such fibers, arranged smoothly and regularly, contract and relax as an integrated functional unit as the heart beats. To orchestrate this motion, fiber tangling must be avoided and pumping should be efficient. Current models of myofiber orientation across the heart wall suggest groupings into sheets or bands, but the precise geometry of bundles of myofibers is unknown. Here we show that this arrangement takes the form of a special minimal surface, the generalized helicoid [Blair DE, Vanstone JR (1978) Minimal Submanifolds and Geodesics 13-16], closing the gap between individual myofibers and their collective wall structure. The model holds across species, with a smooth variation in its three curvature parameters within the myocardial wall providing tight fits to diffusion magnetic resonance images from the rat, the dog, and the human. Mathematically it explains how myofibers are bundled in the heart wall while economizing fiber length and optimizing ventricular ejection volume as they contract. The generalized helicoid provides a unique foundation for analyzing the fibrous composite of the heart wall and should therefore find applications in heart tissue engineering and in the study of heart muscle diseases.",The generalized helicoid provides a unique foundation for analyzing the fibrous composite of the heart wall and should therefore find applications in heart tissue engineering and in the study of heart muscle diseases.
W2044735577,Bicontinuous Cubic Morphologies in Block Copolymers and Amphiphile/Water Systems:  Mathematical Description through the Minimal Surfaces,1997,"Alto D. Benedicto, David F. O’Brien",10.1021/ma9614353,Materials Science,16,60,2.2686,0.87658246,0,59,25,0.424,"Block copolymers and amphiphile/water systems both exhibit very rich polymorphism. The bicontinuous cubic morphologies mediate the transformation from a lamellar phase to a hexagonally-packed cylinder phase. However, certain bicontinuous cubic morphologies can theoretically transform smoothly (without disruption or tearing) to other bicontinuous cubic morphologies in response to variation in temperature and concentration. These bicontinuous phases are best understood in terms of their associated minimal surfaces. The minimal surfaces D (i.e, ordered bicontinuous double diamond OBDD for block copolymer; cubic phase Q 224 for amphiphile/water system), G (i.e., gyroid G* for block copolymer; cubic phase Q 230 for amphiphile/water system), and P (cubic phase Q 229 for amphiphile/water system; not yet reported for block copolymers) were computed and their two-dimensional projections on the plane reveals various 4-fold and 3-fold symmetries that are at times indistinguishable from that of the hexagonal phase. Moreover, because the surfaces are homotopic, certain 2-D projections of the three bicontinuous cubic phases are remarkably similar. However, the identification of bicontinuous cubic morphologies from each other by various microscopy techniques could still be achieved provided that the number of domains present in an experimental sample is large enough. Experimentally-obtained electron tomographs of sections of suspected bicontinuous phases may be compared with relative ease to the computed slices. These methods extend the range of concentrations in which bicontinuous cubic phases may be classified without the use of X-ray or neutron diffraction since diffractograms are generally difficult to obtain for the dilute samples commonly employed in amphiphile/water systems.",
W1598887706,The Laplace equation of capillarity,1998,J. Gaydos,10.1016/s1383-7303(98)80018-5,Materials Science,16,11,2.2366,0.82125604,0,11,1,0.091,,The chapter provides a generalization of the classical Young–Laplace equation that is completely second-order in the principal curvatures and also provides numerical examples of the influence of first-order bending energy effects upon the shape of axisymmetric pendant or sessile drops.
W138643006,Elliptic Partial Differential Equations of Second Order,1997,"Piero Bassanini, Alan R. Elcrat",10.1007/978-1-4899-1875-8_5,Computer Science,74,1376,13.8624,0.9941452,1,1362,243,0.178,,
W2151783599,Minimal surfaces based object segmentation,1997,"Vicent Caselles, Guillermo Sapiro, Ron Kimmel, Ron Kimmel",10.1109/34.588023,Computer Science,74,198,9.4662,0.98190579,1,197,121,0.614,"A geometric approach for 3D object segmentation and representation is presented. The segmentation is obtained by deformable surfaces moving towards the objects to be detected in the 3D image. The model is based on curvature motion and the computation of surfaces with minimal areas, better known as minimal surfaces. The space where the surfaces are computed is induced from the 3D image (volumetric data) in which the objects are to be detected. The model links between classical deformable surfaces obtained via energy minimization, and intrinsic ones derived from curvature based flows. The new approach is stable, robust, and automatically handles changes in the surface topology during the deformation.","A geometric approach for 3D object segmentation and representation is presented that links between classical deformable surfaces obtained via energy minimization, and intrinsic ones derived from curvature based flows."
W2074313127,The maximum principle at infinity for minimal surfaces in flat three manifolds,1990,"William H. Meeks, William H. Meeks, William H. Meeks, William H. Meeks",10.1007/bf02566606,Computer Science,74,49,5.9782,0.96957215,1,21,0,0.0,"Maximum principles are used as basic analytic tools for studying properties of functions defined on domains in R n and satisfying certain equations (e.g. elliptic). In general these maximum principles play a fundamental role in analysis on complete Riemannian manifolds, especially in the study of variational problems. For example, the well-known maximum principle for harmonic functions has had both a simplifying and unifying effect on the fields of harmonic and complex analysis. H. Hopf [18] gave an important general maximum principle for second order linear elliptic partial differential equations. The Hopf maximum principle easily yields a maximum principle for solutions of the minimal surface equation. In this context the principle states that if D c R 2 is a smooth connected domain and f~ ,f2 are two smooth functions on D that satisfy the minimal surface equation, then the difference fl -f2 cannot have an interior maximum or minimum unless the difference is constant. The maximum principle for minimal graphs gives rise to the following geometric result for minimal surfaces in Riemannian three-manifolds: IfM~ and ME are minimal surfaces in a Riemannian three-manifold that intersect at a common interior point p and M1 is on one side of M2 near p, then M~ intersects M2 in an open surface containing",
W2004710792,Minimal surfaces: a geometric three dimensional segmentation approach,1997,"Vicent Caselles, Guillermo Sapiro, Ron Kimmel, Catalina Sbert",10.1007/s002110050294,Computer Science,74,83,4.732,0.94984264,1,80,49,0.613,,"A novel geometric approach for three dimensional object segmentation based on geometric deformable surfaces moving towards the objects to be detected is presented, which is stable, robust, and automatically handles changes in the surface topology during the deformation."
W2166244928,Embedded minimal disks: Proper versus nonproper—global versus local,2003,"Tobias Colding, Tobias Colding, William P. Minicozzi",10.1090/s0002-9947-03-03230-6,Computer Science,74,57,3.998,0.94159342,1,38,2,0.053,"We construct a sequence of compact embedded minimal disks in a ball in <inline-formula content-type=""math/mathml""> <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" alttext=""bold upper R cubed""> <mml:semantics> <mml:msup> <mml:mrow class=""MJX-TeXAtom-ORD""> <mml:mi mathvariant=""bold"">R</mml:mi> </mml:mrow> <mml:mn>3</mml:mn> </mml:msup> <mml:annotation encoding=""application/x-tex"">\mathbf {R}^3</mml:annotation> </mml:semantics> </mml:math> </inline-formula> with boundaries in the boundary of the ball and where the curvatures blow up only at the center. The sequence converges to a limit which is not smooth and not proper. If instead the sequence of embedded disks had boundaries in a sequence of balls with radii tending to infinity, then we have shown previously that any limit must be smooth and proper.",
W2906809727,Liouville-Type Theorems for Elliptic Problems,2007,"Alberto Farina, Alberto Farina",10.1016/s1874-5733(07)80005-2,Computer Science,74,64,3.7448,0.9470814,1,62,3,0.048,,
W2034409564,Born-Infeld particles and Dirichlet p-branes,1998,G. W. Gibbons,10.1016/s0550-3213(97)00795-5,Physics and Astronomy,82,530,61.6961,0.99910611,1,506,471,0.931,,
