citing_work_id,cited_work_id,citation_function,rationale,citer_title,citer_year,citer_field,citer_subfield,citer_type,citer_cited_by_count
W138643006,W2139502098,,,Elliptic Partial Differential Equations of Second Order,1997,Computer Science,Computational Theory and Mathematics,book-chapter,1376
W1698081298,W2139502098,,,Analytic and geometric background of recurrence and non-explosion of the Brownian motion on Riemannian manifolds,1999,Mathematics,Applied Mathematics,article,871
W1996561347,W2139502098,,,The structure of complete stable minimal surfaces in 3‐manifolds of non‐negative scalar curvature,1980,Mathematics,Applied Mathematics,article,707
W1603911705,W2139502098,,,Harmonic Morphisms Between Riemannian Manifolds,2003,Mathematics,Applied Mathematics,book,630
W2034409564,W2139502098,,,Born-Infeld particles and Dirichlet p-branes,1998,Physics and Astronomy,Nuclear and High Energy Physics,article,530
W2120559167,W2139502098,,,Bone tissue regeneration: the role of scaffold geometry,2014,Engineering,Biomedical Engineering,article,519
W1567841374,W2139502098,,,"Uniqueness, symmetry, and embeddedness of minimal surfaces",1983,Mathematics,Applied Mathematics,article,412
W2065282571,W2139502098,,,Curvature estimates for minimal hypersurfaces,1975,Mathematics,Applied Mathematics,article,363
W2057681881,W2139502098,,,On complete minimal surfaces with finite Morse index in three manifolds,1985,Mathematics,Applied Mathematics,article,297
W2149889673,W2139502098,,,Shrinkwrapping and the taming of hyperbolic 3-manifolds,2005,Mathematics,Geometry and Topology,article,293
W2020833884,W2139502098,,,Maximal Surfaces in the 3-Dimensional Minkowski Space $L^3$,1983,Mathematics,Applied Mathematics,article,288
W2011333439,W2139502098,,,Least area incompressible surfaces in 3-manifolds,1983,Mathematics,Applied Mathematics,article,227
W1963952373,W2139502098,,,The topology of complete minimal surfaces of finite total Gaussian curvature,1983,Mathematics,Applied Mathematics,article,221
W4290859712,W2139502098,,,LONDON MATHEMATICAL SOCIETY MONOGRAPHS NEW SERIES,2003,Mathematics,Applied Mathematics,other,221
W2159340766,W2139502098,,,Removability of point singularities of Willmore surfaces,2004,Mathematics,Applied Mathematics,article,217
W2092544044,W2139502098,,,Weierstrass formula for surfaces of prescribed mean curvature,1979,Mathematics,Applied Mathematics,article,216
W2943941736,W2139502098,,,Additively manufactured porous metallic biomaterials,2019,Engineering,Biomedical Engineering,article,202
W2151783599,W2139502098,,,Minimal surfaces based object segmentation,1997,Computer Science,Computer Vision and Pattern Recognition,article,198
W1543241455,W2139502098,,,Geometry of submanifolds and its applications,1981,Mathematics,Applied Mathematics,article,189
W2044600860,W2139502098,,,"Non-existence, non-uniqueness and irregularity of solutions to the minimal surface system",1977,Mathematics,Applied Mathematics,article,162
W2056565328,W2139502098,,,Hadamard's and Calabi-Yau's conjectures on negatively curved and minimal surfaces,1996,Mathematics,Applied Mathematics,article,160
W2999050204,W2139502098,,,On virus growth and form,2020,Environmental Science,Ecology,article,157
W2042745111,W2139502098,,,Example of a complete minimal immersion in IR3 of genus one and three-embedded ends,1984,Engineering,Computational Mechanics,article,152
W1867725473,W2139502098,,,Minimal surfaces in pseudohermitian geometry,2009,Mathematics,Applied Mathematics,article,136
W1967480775,W2139502098,,,Maximal surfaces with singularities in Minkowski space,2006,Mathematics,Applied Mathematics,article,130
W1998356197,W2139502098,,,The Gauss map and spacelike surfaces with prescribed mean curvature in Minkowski $3$-space,1990,Mathematics,Applied Mathematics,article,128
