openalex_id,title,year,own_field,fwci,cited_by_count,gen2_total,gen2_same_field,same_field_fraction,gen2_back_to_math,back_to_math_fraction,field_breakdown,doi
W2034409564,Born-Infeld particles and Dirichlet p-branes,1998,Physics and Astronomy,61.6961,530,506,471,0.931,25,0.049,Physics and Astronomy:471; Mathematics:25; Engineering:5; Computer Science:3; Materials Science:1; Arts and Humanities:1,10.1016/s0550-3213(97)00795-5
W2120559167,Bone tissue regeneration: the role of scaffold geometry,2014,Engineering,9.7715,519,523,414,0.792,0,0.0,"Engineering:414; Materials Science:44; Medicine:36; Biochemistry, Genetics and Molecular Biology:20; Dentistry:3; Physics and Astronomy:1; Pharmacology, Toxicology and Pharmaceutics:1; Neuroscience:1; Decision Sciences:1; Chemistry:1; Agricultural and Biological Sciences:1",10.1039/c4bm00291a
W138643006,Elliptic Partial Differential Equations of Second Order,1997,Computer Science,13.8624,1376,1362,243,0.178,834,0.612,"Mathematics:834; Computer Science:243; Engineering:118; Physics and Astronomy:59; Economics, Econometrics and Finance:35; Medicine:29; Materials Science:17; Earth and Planetary Sciences:5; Biochemistry, Genetics and Molecular Biology:5; (no field):5; Chemistry:4; Decision Sciences:3; Chemical Engineering:3; Social Sciences:1; Business, Management and Accounting:1",10.1007/978-1-4899-1875-8_5
W2943941736,Additively manufactured porous metallic biomaterials,2019,Engineering,8.1486,202,204,165,0.809,0,0.0,"Engineering:165; Materials Science:22; Medicine:12; Dentistry:1; Computer Science:1; Chemistry:1; Biochemistry, Genetics and Molecular Biology:1; Agricultural and Biological Sciences:1",10.1039/c9tb00420c
W2151783599,Minimal surfaces based object segmentation,1997,Computer Science,9.4662,198,197,121,0.614,3,0.015,"Computer Science:121; Engineering:39; Medicine:28; Mathematics:3; Agricultural and Biological Sciences:2; Physics and Astronomy:1; Environmental Science:1; Earth and Planetary Sciences:1; Biochemistry, Genetics and Molecular Biology:1",10.1109/34.588023
W2002168123,"Region with trapped surfaces in spherical symmetry, its core, and their boundaries",2011,Physics and Astronomy,8.9287,83,85,80,0.941,2,0.024,Physics and Astronomy:80; Mathematics:2; Materials Science:1; Engineering:1; Chemistry:1,10.1103/physrevd.83.044012
W2999050204,On virus growth and form,2020,Environmental Science,14.2229,157,160,70,0.438,2,0.013,"Environmental Science:70; Biochemistry, Genetics and Molecular Biology:29; Materials Science:19; Medicine:13; Engineering:9; Chemistry:6; Physics and Astronomy:5; Mathematics:2; Immunology and Microbiology:2; Computer Science:2; Agricultural and Biological Sciences:2; Social Sciences:1",10.1016/j.physrep.2019.12.005
W2011393615,"Capillary models for liquid crystal fibers, membranes, films, and drops",2007,Materials Science,4.2697,105,105,61,0.581,0,0.0,"Materials Science:61; Engineering:26; Physics and Astronomy:7; Chemical Engineering:4; Agricultural and Biological Sciences:3; Computer Science:2; Chemistry:1; Biochemistry, Genetics and Molecular Biology:1",10.1039/b704248p
W2004710792,Minimal surfaces: a geometric three dimensional segmentation approach,1997,Computer Science,4.732,83,80,49,0.613,6,0.075,"Computer Science:49; Engineering:14; Medicine:8; Mathematics:6; Earth and Planetary Sciences:1; Biochemistry, Genetics and Molecular Biology:1; Arts and Humanities:1",10.1007/s002110050294
W2612605708,Gaussian curvature directs the distribution of spontaneous curvature on bilayer membrane necks,2018,"Biochemistry, Genetics and Molecular Biology",1.9844,39,39,34,0.872,0,0.0,"Biochemistry, Genetics and Molecular Biology:34; Materials Science:1; Immunology and Microbiology:1; Environmental Science:1; Chemistry:1; Chemical Engineering:1",10.1039/c8sm00035b
