openalex_id,title,year,cited_by_count,type,field,subfield,authors,doi
W138643006,Elliptic Partial Differential Equations of Second Order,1997,1376,book-chapter,Computer Science,Computational Theory and Mathematics,"Piero Bassanini, Alan R. Elcrat",10.1007/978-1-4899-1875-8_5
W2034409564,Born-Infeld particles and Dirichlet p-branes,1998,530,article,Physics and Astronomy,Nuclear and High Energy Physics,G. W. Gibbons,10.1016/s0550-3213(97)00795-5
W2120559167,Bone tissue regeneration: the role of scaffold geometry,2014,519,article,Engineering,Biomedical Engineering,Amir A. Zadpoor,10.1039/c4bm00291a
W2943941736,Additively manufactured porous metallic biomaterials,2019,202,article,Engineering,Biomedical Engineering,Amir A. Zadpoor,10.1039/c9tb00420c
W2151783599,Minimal surfaces based object segmentation,1997,198,article,Computer Science,Computer Vision and Pattern Recognition,"Vicent Caselles, Ron Kimmel, Guillermo Sapiro",10.1109/34.588023
W2999050204,On virus growth and form,2020,157,article,Environmental Science,Ecology,"Roya Zandi, Bogdan Dragnea, Alex Travesset",10.1016/j.physrep.2019.12.005
W2042745111,Example of a complete minimal immersion in IR3 of genus one and three-embedded ends,1984,152,article,Engineering,Computational Mechanics,Celso J. Costa,10.1007/bf02584707
W2011393615,"Capillary models for liquid crystal fibers, membranes, films, and drops",2007,105,article,Materials Science,"Electronic, Optical and Magnetic Materials",Alejandro D. Rey,10.1039/b704248p
W2561706738,Additively Manufactured and Surface Biofunctionalized Porous Nitinol,2016,98,article,Engineering,Biomedical Engineering,"Zahra Gorgin Karaji, Mathew Speirs, Sasan Dadbakhsh",10.1021/acsami.6b14026
W2079888158,Classical solutions in the Born—Infeld theory,2000,89,article,Physics and Astronomy,Nuclear and High Energy Physics,Yisong Yang,10.1098/rspa.2000.0533
W2050427737,A geometric approach to segmentation and analysis of 3D medical images,1996,87,conference-paper,Computer Science,Computer Vision and Pattern Recognition,"R. Malladi, Ron Kimmel, David Adalsteinsson",10.1109/mmbia.1996.534076
W2054414694,Bézier surfaces of minimal area: The Dirichlet approach,2003,85,article,Engineering,Computational Mechanics,J. Monterde,10.1016/j.cagd.2003.07.009
W2002168123,"Region with trapped surfaces in spherical symmetry, its core, and their boundaries",2011,83,article,Physics and Astronomy,Nuclear and High Energy Physics,"Ingemar Bengtsson, José M. M. Senovilla",10.1103/physrevd.83.044012
W2004710792,Minimal surfaces: a geometric three dimensional segmentation approach,1997,83,article,Computer Science,Computer Vision and Pattern Recognition,"Vicent Caselles, Ron Kimmel, Guillermo Sapiro",10.1007/s002110050294
W2010180471,Bernstein theorems for harmonic morphisms from R3 andS 3,1988,83,article,Engineering,Computational Mechanics,"Paul Baird, Jonathan Wood",10.1007/bf01450078
W2044920528,The computer-aided discovery of new embedded minimal surfaces,1987,82,article,Engineering,Computational Mechanics,"David Hoffman, Henri Matisse",10.1007/bf03023947
W2288825959,Le problème de Dirichlet pour l'équation des surfaces minimales sur des domaines non bornés,1991,65,article,Computer Science,Computational Theory and Mathematics,"Pascal Collin, Romain Krust",10.24033/bsmf.2174
W2906809727,Liouville-Type Theorems for Elliptic Problems,2007,64,book-chapter,Computer Science,Computational Theory and Mathematics,Alberto Farina,10.1016/s1874-5733(07)80005-2
W2169776346,Heart wall myofibers are arranged in minimal surfaces to optimize organ function,2012,62,article,Materials Science,Biomaterials,"Peter Savadjiev, Gustav J. Strijkers, Adrianus J. Bakermans",10.1073/pnas.1120785109
W2044735577,Bicontinuous Cubic Morphologies in Block Copolymers and Amphiphile/Water Systems:  Mathematical Description through the Minimal Surfaces,1997,60,article,Materials Science,Materials Chemistry,"Alto D. Benedicto, David F. O’Brien",10.1021/ma9614353
