field,title,doi,openalex_id,s2_matched,s2_fields,tldr,oa_pdf_url
Mathematics,Analytic and geometric background of recurrence and non-explosion of the Brownian motion on Riemannian manifolds,10.1090/s0273-0979-99-00776-4,W1698081298,True,Mathematics,,https://www.ams.org/bull/1999-36-02/S0273-0979-99-00776-4/S0273-0979-99-00776-4.pdf
Mathematics,Shrinkwrapping and the taming of hyperbolic 3-manifolds,10.1090/s0894-0347-05-00513-8,W2149889673,True,Mathematics,,https://www.ams.org/jams/2006-19-02/S0894-0347-05-00513-8/S0894-0347-05-00513-8.pdf
Mathematics,Complete Embedded Minimal Surfaces of Finite Total Curvature,10.1007/978-3-662-03484-2_2,W2078151027,True,Mathematics,,https://www.ams.org/bull/1985-12-01/S0273-0979-1985-15318-2/S0273-0979-1985-15318-2.pdf
Mathematics,The Gauss Map of a Complete Non-Flat Minimal Surface Cannot Omit 7 Points of the Sphere,10.2307/1971139,W2027593881,True,Mathematics,,
Mathematics,Minimal surfaces in pseudohermitian geometry,10.2422/2036-2145.2005.1.05,W1867725473,False,,,
Mathematics,Clifford–Fourier Transform and Spinor Representation of Images,10.1007/978-3-0348-0603-9_9,W203977387,True,Physics,This chapter proposes a spinor representation for images based on the work of T. Friedrich that generalizes the usual Weierstrass representation of minimal surfaces to arbitrary surfaces and investigates applications to image processing focusing on segmentation and Clifford–Fourier analysis.,
Engineering,On the existence of capillary free surfaces in the absence of gravity,10.2140/pjm.1980.88.323,W2026783245,True,Physics,,http://msp.org/pjm/1980/88-2/pjm-v88-n2-p05-s.pdf
Engineering,Scherk-Type Capillary Graphs,10.1007/s00021-004-0140-8,W2092645959,True,Mathematics,,http://hdl.handle.net/11858/00-001M-0000-0013-4AA6-7
Engineering,Non-continuous dependence of surfaces of least area on the boundary curve,10.2140/pjm.1977.70.11,W2005684646,True,Mathematics,,http://msp.org/pjm/1977/70-1/pjm-v70-n1-p02-s.pdf
Engineering,Bone tissue regeneration: the role of scaffold geometry,10.1039/c4bm00291a,W2120559167,True,"Medicine, Materials Science","Recent discoveries concerning the effects of geometrical features of porous scaffolds such as surface curvature, pore shape, and pore size on the cellular response and bone tissue regeneration process are reviewed and recommended for future research.",
Engineering,Additively manufactured porous metallic biomaterials,10.1039/c9tb00420c,W2943941736,True,"Medicine, Materials Science","An overview of the various aspects of design, manufacturing, and bio-functionalization of additively manufactured porous metallic biomaterials from a ""designer material"" viewpoint and discusses how rational design principles could be used to topologically design the underlying lattice structures in such a way that the desired properties are simultaneously optimized.",https://pubs.rsc.org/en/content/articlepdf/2019/tb/c9tb00420c
Engineering,An embedded genus-one helicoid,10.4007/annals.2009.169.347,W2028122516,False,,,
Physics and Astronomy,Born-Infeld particles and Dirichlet p-branes,10.1016/s0550-3213(97)00795-5,W2034409564,True,Physics,,https://arxiv.org/pdf/hep-th/9709027
Physics and Astronomy,Mathematical Physics with Differential Equations,10.1093/oso/9780192872616.001.0001,W4386139171,False,,,
Physics and Astronomy,"Region with trapped surfaces in spherical symmetry, its core, and their boundaries",10.1103/physrevd.83.044012,W2002168123,True,Physics,,https://arxiv.org/pdf/1009.0225
Physics and Astronomy,Toward giga-pixel nanoscopy on a chip: a computational wide-field look at the nano-scale without the use of lenses,10.1039/c3lc50222h,W2088920577,True,"Medicine, Computer Science, Materials Science","Developments over the last two years that have enabled computational lensfree holographic on-chip microscopy to compete with and, in some cases, surpass conventional bright-field microscopy in its ability to image nano-scale objects across large fields of view are highlighted.",https://europepmc.org/articles/pmc3813829?pdf=render
Physics and Astronomy,Giant leaps and minimal branes in multidimensional flux landscapes,10.1103/physrevd.84.023513,W2069107272,True,Physics,,https://arxiv.org/pdf/1010.5241
Physics and Astronomy,Symmetry properties and explicit solutions of the generalized Weierstrass system,10.1063/1.1337796,W2000412615,True,Mathematics,,http://www.crm.umontreal.ca/pub/Rapports/2600-2699/2673.pdf
Computer Science,Elliptic Partial Differential Equations of Second Order,10.1007/978-1-4899-1875-8_5,W138643006,True,Physics,,
Computer Science,Minimal surfaces based object segmentation,10.1109/34.588023,W2151783599,True,Computer Science,"A geometric approach for 3D object segmentation and representation is presented that links between classical deformable surfaces obtained via energy minimization, and intrinsic ones derived from curvature based flows.",
Computer Science,The maximum principle at infinity for minimal surfaces in flat three manifolds,10.1007/bf02566606,W2074313127,True,Mathematics,,
Computer Science,Minimal surfaces: a geometric three dimensional segmentation approach,10.1007/s002110050294,W2004710792,True,Mathematics,"A novel geometric approach for three dimensional object segmentation based on geometric deformable surfaces moving towards the objects to be detected is presented, which is stable, robust, and automatically handles changes in the surface topology during the deformation.",http://www.cs.technion.ac.il/%7Eron/PAPERS/CasKimSapSbe_NUMA1997.pdf
Computer Science,Embedded minimal disks: Proper versus nonproper—global versus local,10.1090/s0002-9947-03-03230-6,W2166244928,True,Mathematics,,https://www.ams.org/tran/2004-356-01/S0002-9947-03-03230-6/S0002-9947-03-03230-6.pdf
Computer Science,Liouville-Type Theorems for Elliptic Problems,10.1016/s1874-5733(07)80005-2,W2906809727,True,Mathematics,,
Materials Science,Polymer Structures with the Topology of Triply Periodic Minimal Surfaces,10.1134/s1087659617060177,W2789770516,True,Materials Science,,
Materials Science,The Topological Background of Schwarzite Physics,10.1007/978-94-007-0221-9_12,W168724759,True,Physics,,
