openalex_id,title,year,own_field,fwci,cited_by_count,gen2_total,gen2_outside_own_field,outside_fraction,distinct_fields,top_field_breakdown,doi
W138643006,Elliptic Partial Differential Equations of Second Order,1997,Computer Science,13.8624,1376,1362,1119,0.822,15,"Mathematics:834; Computer Science:243; Engineering:118; Physics and Astronomy:59; Economics, Econometrics and Finance:35; Medicine:29; Materials Science:17; Earth and Planetary Sciences:5; Biochemistry, Genetics and Molecular Biology:5; (no field):5; Chemistry:4; Decision Sciences:3; Chemical Engineering:3; Social Sciences:1; Business, Management and Accounting:1",10.1007/978-1-4899-1875-8_5
W2120559167,Bone tissue regeneration: the role of scaffold geometry,2014,Engineering,9.7715,519,523,109,0.208,11,"Engineering:414; Materials Science:44; Medicine:36; Biochemistry, Genetics and Molecular Biology:20; Dentistry:3; Physics and Astronomy:1; Pharmacology, Toxicology and Pharmaceutics:1; Neuroscience:1; Decision Sciences:1; Chemistry:1; Agricultural and Biological Sciences:1",10.1039/c4bm00291a
W1698081298,Analytic and geometric background of recurrence and non-explosion of the Brownian motion on Riemannian manifolds,1999,Mathematics,23.2435,871,857,107,0.125,11,"Mathematics:750; Computer Science:51; Physics and Astronomy:21; Engineering:11; Economics, Econometrics and Finance:10; Neuroscience:5; Medicine:4; Materials Science:2; Social Sciences:1; Agricultural and Biological Sciences:1; (no field):1",10.1090/s0273-0979-99-00776-4
W2999050204,On virus growth and form,2020,Environmental Science,14.2229,157,160,90,0.562,12,"Environmental Science:70; Biochemistry, Genetics and Molecular Biology:29; Materials Science:19; Medicine:13; Engineering:9; Chemistry:6; Physics and Astronomy:5; Mathematics:2; Immunology and Microbiology:2; Computer Science:2; Agricultural and Biological Sciences:2; Social Sciences:1",10.1016/j.physrep.2019.12.005
W2151783599,Minimal surfaces based object segmentation,1997,Computer Science,9.4662,198,197,76,0.386,9,"Computer Science:121; Engineering:39; Medicine:28; Mathematics:3; Agricultural and Biological Sciences:2; Physics and Astronomy:1; Environmental Science:1; Earth and Planetary Sciences:1; Biochemistry, Genetics and Molecular Biology:1",10.1109/34.588023
W2169776346,Heart wall myofibers are arranged in minimal surfaces to optimize organ function,2012,Materials Science,3.878,62,62,62,1.0,6,"Medicine:41; Engineering:10; Computer Science:5; Biochemistry, Genetics and Molecular Biology:4; Physics and Astronomy:1; Neuroscience:1",10.1073/pnas.1120785109
W2027915740,The contact angle in capillarity,2006,Earth and Planetary Sciences,3.2589,60,60,59,0.983,9,Materials Science:24; Engineering:21; Physics and Astronomy:7; Mathematics:2; Chemistry:2; Medicine:1; Environmental Science:1; Earth and Planetary Sciences:1; Computer Science:1,10.1063/1.2185655
W2906809727,Liouville-Type Theorems for Elliptic Problems,2007,Computer Science,3.7448,64,62,59,0.952,7,"Mathematics:52; Computer Science:3; Physics and Astronomy:2; Engineering:2; Economics, Econometrics and Finance:1; Arts and Humanities:1; (no field):1",10.1016/s1874-5733(07)80005-2
W2011393615,"Capillary models for liquid crystal fibers, membranes, films, and drops",2007,Materials Science,4.2697,105,105,44,0.419,8,"Materials Science:61; Engineering:26; Physics and Astronomy:7; Chemical Engineering:4; Agricultural and Biological Sciences:3; Computer Science:2; Chemistry:1; Biochemistry, Genetics and Molecular Biology:1",10.1039/b704248p
W2002021482,Triply periodic minimal surfaces decorated with curved graphite,1993,Chemistry,2.3658,59,58,41,0.707,6,Materials Science:32; Chemistry:17; Physics and Astronomy:3; Engineering:3; Mathematics:2; Computer Science:1,10.1016/0009-2614(93)85009-d
W2943941736,Additively manufactured porous metallic biomaterials,2019,Engineering,8.1486,202,204,39,0.191,8,"Engineering:165; Materials Science:22; Medicine:12; Dentistry:1; Computer Science:1; Chemistry:1; Biochemistry, Genetics and Molecular Biology:1; Agricultural and Biological Sciences:1",10.1039/c9tb00420c
W2166244928,Embedded minimal disks: Proper versus nonproper—global versus local,2003,Computer Science,3.998,57,38,36,0.947,5,Mathematics:33; Computer Science:2; Physics and Astronomy:1; Engineering:1; (no field):1,10.1090/s0002-9947-03-03230-6
W2034409564,Born-Infeld particles and Dirichlet p-branes,1998,Physics and Astronomy,61.6961,530,506,35,0.069,6,Physics and Astronomy:471; Mathematics:25; Engineering:5; Computer Science:3; Materials Science:1; Arts and Humanities:1,10.1016/s0550-3213(97)00795-5
W2044735577,Bicontinuous Cubic Morphologies in Block Copolymers and Amphiphile/Water Systems:  Mathematical Description through the Minimal Surfaces,1997,Materials Science,2.2686,60,59,34,0.576,10,"Materials Science:25; Biochemistry, Genetics and Molecular Biology:16; Chemistry:8; Engineering:4; Physics and Astronomy:1; Pharmacology, Toxicology and Pharmaceutics:1; Health Professions:1; Dentistry:1; Chemical Engineering:1; Agricultural and Biological Sciences:1",10.1021/ma9614353
W2004710792,Minimal surfaces: a geometric three dimensional segmentation approach,1997,Computer Science,4.732,83,80,31,0.388,7,"Computer Science:49; Engineering:14; Medicine:8; Mathematics:6; Earth and Planetary Sciences:1; Biochemistry, Genetics and Molecular Biology:1; Arts and Humanities:1",10.1007/s002110050294
W2088920577,Toward giga-pixel nanoscopy on a chip: a computational wide-field look at the nano-scale without the use of lenses,2013,Physics and Astronomy,6.4984,55,55,30,0.545,7,"Physics and Astronomy:25; Engineering:14; Biochemistry, Genetics and Molecular Biology:9; Computer Science:4; Materials Science:1; Immunology and Microbiology:1; Environmental Science:1",10.1039/c3lc50222h
W2005684646,Non-continuous dependence of surfaces of least area on the boundary curve,1977,Engineering,20.5098,29,28,28,1.0,4,"Mathematics:19; Computer Science:7; Physics and Astronomy:1; Business, Management and Accounting:1",10.2140/pjm.1977.70.11
W3026088860,XROMM and diceCT reveal a hydraulic mechanism of tongue base retraction in swallowing,2020,Health Professions,6.3158,45,45,27,0.6,8,"Health Professions:18; Medicine:9; Environmental Science:5; Biochemistry, Genetics and Molecular Biology:5; Computer Science:3; Psychology:2; Engineering:2; Earth and Planetary Sciences:1",10.1038/s41598-020-64935-z
W2112838653,Electrostatic colloid-membrane binding,2004,"Biochemistry, Genetics and Molecular Biology",0.2395,54,54,25,0.463,8,"Biochemistry, Genetics and Molecular Biology:29; Materials Science:17; Engineering:2; Chemistry:2; Physics and Astronomy:1; Neuroscience:1; Medicine:1; Chemical Engineering:1",10.1209/epl/i2004-10068-x
W2078151027,Complete Embedded Minimal Surfaces of Finite Total Curvature,1997,Mathematics,17.4354,112,75,24,0.32,5,Mathematics:51; Engineering:13; Computer Science:7; (no field):3; Materials Science:1,10.1007/978-3-662-03484-2_2
W2074313127,The maximum principle at infinity for minimal surfaces in flat three manifolds,1990,Computer Science,5.9782,49,21,21,1.0,3,Mathematics:18; Engineering:2; (no field):1,10.1007/bf02566606
W2789770516,Polymer Structures with the Topology of Triply Periodic Minimal Surfaces,2017,Materials Science,13.1663,20,20,18,0.9,3,Engineering:17; Materials Science:2; Computer Science:1,10.1134/s1087659617060177
W2028122516,An embedded genus-one helicoid,2009,Engineering,5.3124,37,19,17,0.895,4,Mathematics:15; Engineering:2; Materials Science:1; (no field):1,10.4007/annals.2009.169.347
W2963173568,On the Uniqueness of Vortex Equations and Its Geometric Applications,2018,Earth and Planetary Sciences,2.5648,17,16,16,1.0,3,Mathematics:14; Physics and Astronomy:1; Computer Science:1,10.1007/s12220-018-9981-x
W2065862916,The shapes of first-stage sinters,1989,Earth and Planetary Sciences,2.2663,28,22,15,0.682,5,Engineering:7; Earth and Planetary Sciences:7; Materials Science:5; Physics and Astronomy:2; Chemistry:1,10.1063/1.342674
W1867725473,Minimal surfaces in pseudohermitian geometry,2009,Mathematics,13.2477,136,133,14,0.105,4,Mathematics:119; Computer Science:9; Physics and Astronomy:4; Arts and Humanities:1,10.2422/2036-2145.2005.1.05
W2026783245,On the existence of capillary free surfaces in the absence of gravity,1980,Engineering,183.6927,24,23,13,0.565,4,Engineering:10; Mathematics:8; Computer Science:3; Materials Science:2,10.2140/pjm.1980.88.323
W1598887706,The Laplace equation of capillarity,1998,Materials Science,2.2366,11,11,10,0.909,5,Engineering:6; Environmental Science:2; Materials Science:1; Chemical Engineering:1; Agricultural and Biological Sciences:1,10.1016/s1383-7303(98)80018-5
W2149889673,Shrinkwrapping and the taming of hyperbolic 3-manifolds,2005,Mathematics,20.5879,293,292,9,0.031,6,"Mathematics:283; Computer Science:5; Physics and Astronomy:1; Engineering:1; Biochemistry, Genetics and Molecular Biology:1; (no field):1",10.1090/s0894-0347-05-00513-8
W2092645959,Scherk-Type Capillary Graphs,2005,Engineering,51.714,11,9,8,0.889,4,Mathematics:6; Engineering:1; Computer Science:1; (no field):1,10.1007/s00021-004-0140-8
W2027593881,The Gauss Map of a Complete Non-Flat Minimal Surface Cannot Omit 7 Points of the Sphere,1981,Mathematics,16.2075,72,34,6,0.176,4,Mathematics:28; Engineering:4; Computer Science:1; (no field):1,10.2307/1971139
W2002168123,"Region with trapped surfaces in spherical symmetry, its core, and their boundaries",2011,Physics and Astronomy,8.9287,83,85,5,0.059,5,Physics and Astronomy:80; Mathematics:2; Materials Science:1; Engineering:1; Chemistry:1,10.1103/physrevd.83.044012
