field,field_rank_in_field,openalex_id,title,year,type,fwci,top_10_percent,cited_by_count,subfield,authors,doi
Mathematics,1,W1698081298,Analytic and geometric background of recurrence and non-explosion of the Brownian motion on Riemannian manifolds,1999,article,23.2435,1,871,Applied Mathematics,Alexander Grigorʼyan,10.1090/s0273-0979-99-00776-4
Mathematics,2,W2149889673,Shrinkwrapping and the taming of hyperbolic 3-manifolds,2005,article,20.5879,1,293,Geometry and Topology,"Danny Calegari, David Gabai",10.1090/s0894-0347-05-00513-8
Mathematics,3,W2078151027,Complete Embedded Minimal Surfaces of Finite Total Curvature,1997,book-chapter,17.3567,1,112,Applied Mathematics,"David Hoffman, David Hoffman, Hermann Karcher",10.1007/978-3-662-03484-2_2
Mathematics,4,W2027593881,The Gauss Map of a Complete Non-Flat Minimal Surface Cannot Omit 7 Points of the Sphere,1981,article,16.2075,1,72,Theoretical Computer Science,Frederico Xavier,10.2307/1971139
Mathematics,5,W1867725473,Minimal surfaces in pseudohermitian geometry,2009,article,13.2477,1,136,Applied Mathematics,"Jih-Hsin Cheng, Andrea Malchiodi, Jenn-Fang Hwang",10.2422/2036-2145.2005.1.05
Mathematics,6,W203977387,Clifford–Fourier Transform and Spinor Representation of Images,2013,book-chapter,12.3053,1,18,Applied Mathematics,"Thomas Batard, Michel Berthier",10.1007/978-3-0348-0603-9_9
Engineering,1,W2026783245,On the existence of capillary free surfaces in the absence of gravity,1980,article,183.6927,1,24,Aerospace Engineering,Jin-Tzu Chen,10.2140/pjm.1980.88.323
Engineering,2,W2092645959,Scherk-Type Capillary Graphs,2005,article,51.714,1,11,Aerospace Engineering,"Robert Huff, Robert Huff, Robert Huff",10.1007/s00021-004-0140-8
Engineering,3,W2005684646,Non-continuous dependence of surfaces of least area on the boundary curve,1977,article,20.5098,1,29,Computational Mechanics,Michael Beeson,10.2140/pjm.1977.70.11
Engineering,4,W2120559167,Bone tissue regeneration: the role of scaffold geometry,2014,article,9.7715,1,519,Biomedical Engineering,"Amir A. Zadpoor, Amir A. Zadpoor",10.1039/c4bm00291a
Engineering,5,W2943941736,Additively manufactured porous metallic biomaterials,2019,article,8.1486,1,202,Biomedical Engineering,"Amir A. Zadpoor, Amir A. Zadpoor",10.1039/c9tb00420c
Engineering,6,W2028122516,An embedded genus-one helicoid,2009,article,6.062,1,37,Computational Mechanics,"Matthias Weber, David Hoffman, Michael Wolf",10.4007/annals.2009.169.347
Physics and Astronomy,1,W2034409564,Born-Infeld particles and Dirichlet p-branes,1998,article,61.6961,1,530,Nuclear and High Energy Physics,G. W. Gibbons,10.1016/s0550-3213(97)00795-5
Physics and Astronomy,2,W4386139171,Mathematical Physics with Differential Equations,2023,book,20.0995,1,4,Nuclear and High Energy Physics,"Yisong Yang, Yisong Yang",10.1093/oso/9780192872616.001.0001
Physics and Astronomy,3,W2002168123,"Region with trapped surfaces in spherical symmetry, its core, and their boundaries",2011,article,8.9287,1,83,Nuclear and High Energy Physics,"Ingemar Bengtsson, José M. M. Senovilla",10.1103/physrevd.83.044012
Physics and Astronomy,4,W2088920577,Toward giga-pixel nanoscopy on a chip: a computational wide-field look at the nano-scale without the use of lenses,2013,article,6.4984,1,55,"Atomic and Molecular Physics, and Optics","Euan McLeod, Alon Greenbaum, Onur Mudanyali",10.1039/c3lc50222h
Physics and Astronomy,5,W2069107272,Giant leaps and minimal branes in multidimensional flux landscapes,2011,article,4.8838,1,23,Nuclear and High Energy Physics,"Adam R. Brown, Alex Dahlen",10.1103/physrevd.84.023513
Physics and Astronomy,6,W2000412615,Symmetry properties and explicit solutions of the generalized Weierstrass system,2001,article,3.1748,1,35,Statistical and Nonlinear Physics,"Paul Bracken, Paul Bracken, A. M. Grundland",10.1063/1.1337796
Computer Science,1,W138643006,Elliptic Partial Differential Equations of Second Order,1997,book-chapter,13.8624,1,1376,Computational Theory and Mathematics,"Piero Bassanini, Alan R. Elcrat",10.1007/978-1-4899-1875-8_5
Computer Science,2,W2151783599,Minimal surfaces based object segmentation,1997,article,9.4662,1,198,Computer Vision and Pattern Recognition,"Vicent Caselles, Guillermo Sapiro, Ron Kimmel",10.1109/34.588023
Computer Science,3,W2074313127,The maximum principle at infinity for minimal surfaces in flat three manifolds,1990,article,5.9782,1,49,Computational Theory and Mathematics,"William H. Meeks, William H. Meeks, William H. Meeks",10.1007/bf02566606
Computer Science,4,W2004710792,Minimal surfaces: a geometric three dimensional segmentation approach,1997,article,4.732,1,83,Computer Vision and Pattern Recognition,"Vicent Caselles, Guillermo Sapiro, Ron Kimmel",10.1007/s002110050294
Computer Science,5,W2166244928,Embedded minimal disks: Proper versus nonproper—global versus local,2003,article,3.998,1,57,Computational Theory and Mathematics,"Tobias Colding, Tobias Colding, William P. Minicozzi",10.1090/s0002-9947-03-03230-6
Computer Science,6,W2906809727,Liouville-Type Theorems for Elliptic Problems,2007,book-chapter,3.7448,1,64,Computational Theory and Mathematics,"Alberto Farina, Alberto Farina",10.1016/s1874-5733(07)80005-2
Materials Science,1,W2789770516,Polymer Structures with the Topology of Triply Periodic Minimal Surfaces,2017,article,13.1663,1,20,General Materials Science,"V. Ya. Shevchenko, Lev A. Lebedev, A. A. Gruzdkov",10.1134/s1087659617060177
Materials Science,2,W168724759,The Topological Background of Schwarzite Physics,2010,book-chapter,6.5705,1,11,Materials Chemistry,"G. Benedek, G. Benedek, Eugenio Cinquanta",10.1007/978-94-007-0221-9_12
Materials Science,3,W2011393615,"Capillary models for liquid crystal fibers, membranes, films, and drops",2007,article,4.2697,1,105,"Electronic, Optical and Magnetic Materials",Alejandro D. Rey,10.1039/b704248p
Materials Science,4,W2169776346,Heart wall myofibers are arranged in minimal surfaces to optimize organ function,2012,article,3.878,1,62,Biomaterials,"Peter Savadjiev, Peter Savadjiev, Emmanuel Piuze",10.1073/pnas.1120785109
